iter	Passed	Remaining
767	1250	377
768	1251	375
769	1253	374
770	1254	372
771	1256	371
772	1257	369
773	1259	367
774	1260	365
775	1261	364
776	1263	362
777	1264	360
778	1265	359
779	1267	357
780	1268	355
781	1270	354
782	1271	352
783	1273	350
784	1274	349
785	1275	347
786	1277	345
787	1278	344
788	1280	342
789	1281	340
790	1283	339
791	1285	337
792	1286	335
793	1287	334
794	1289	332
795	1290	330
796	1292	329
797	1293	327
798	1294	325
799	1296	324
800	1297	322
801	1299	320
802	1300	319
803	1301	317
804	1303	315
805	1304	314
806	1306	312
807	1307	310
808	1309	309
809	1310	307
810	1312	305
811	1313	304
812	1315	302
813	1316	300
814	1317	299
815	1319	297
816	1320	295
817	1321	294
818	1323	292
819	1324	290
820	1325	289
821	1327	287
822	1329	285
823	1330	284
824	1331	282
825	1333	280
826	1334	279
827	1336	277
828	1337	275
829	1339	274
830	1340	272
831	1342	271
832	1343	269
833	1345	267
834	1346	266
835	1348	264
836	1349	262
837	1351	261
838	1352	259
839	1353	257
840	1355	256
841	1356	254
842	1358	252
843	1359	251
844	1361	249
845	1362	248
846	1363	246
847	1365	244
848	1366	243
849	1367	241
850	1369	239
851	1370	238
852	1372	236
853	1373	234
854	1375	233
855	1376	231
856	1378	229
857	1379	228
858	1381	226
859	1382	225
860	1383	223
861	1385	221
862	1386	220
863	1388	218
864	1389	216
865	1390	215
866	1392	213
867	1393	211
868	1395	210
869	1396	208
870	1397	207
871	1399	205
872	1400	203
873	1401	202
874	1403	200
875	1405	198
876	1406	197
877	1407	195
878	1409	193
879	1410	192
880	1411	190
881	1413	189
882	1414	187
883	1416	185
884	1417	184
885	1419	182
886	1420	181
887	1422	179
888	1423	177
889	1425	176
890	1426	174
891	1427	172
892	1429	171
893	1430	169
894	1432	168
895	1433	166
896	1435	164
897	1436	163
898	1437	161
899	1439	159
900	1441	158
901	1443	156
902	1444	155
903	1445	153
904	1447	151
905	1448	150
906	1450	148
907	1451	147
908	1453	145
909	1454	143
910	1455	142
911	1457	140
912	1458	138
913	1459	137
914	1461	135
915	1462	134
916	1464	132
917	1465	130
918	1467	129
919	1468	127
920	1469	126
921	1471	124
922	1472	122
923	1474	121
924	1475	119
925	1477	118
926	1479	116
927	1480	114
928	1482	113
929	1483	111
930	1485	110
931	1486	108
932	1487	106
933	1489	105
934	1490	103
935	1491	102
936	1493	100
937	1494	98
938	1496	97
939	1497	95
940	1498	93
941	1500	92
942	1501	90
943	1502	89
944	1504	87
945	1505	85
946	1507	84
947	1509	82
948	1510	81
949	1512	79
950	1513	77
951	1514	76
952	1516	74
953	1517	73
954	1518	71
955	1520	69
956	1521	68
957	1523	66
958	1524	65
959	1525	63
960	1527	61
961	1528	60
962	1530	58
963	1531	57
964	1532	55
965	1534	54
966	1535	52
967	1537	50
968	1538	49
969	1540	47
970	1541	46
971	1542	44
972	1544	42
973	1545	41
974	1547	39
975	1548	38
976	1549	36
977	1551	34
978	1552	33
979	1554	31
980	1555	30
981	1557	28
982	1558	26
983	1560	25
984	1561	23
985	1562	22
986	1564	20
987	1565	19
988	1567	17
989	1569	15
990	1571	14
991	1573	12
992	1575	11
993	1576	9
994	1577	7
995	1579	6
996	1580	4
997	1582	3
998	1584	1
999	1585	0
